Geneid,2_CK_7U,2_CM_7U,24_CK_4,24_CM_4,40_CK_2,40_CM_2,41_CK_3,41_CM_3,8_CK_7,8_CM_7,BER_CK_1,BER_CK5,BER_CK6,BER_CM_1,BER_CM5,BER_CM6
DHA2_32658,53916,39944,35727,32045,42514,36131,25632,25706,45722,53575,53572,43831,53881,37145,46810,51743
DHA2_32697,8837,9492,7312,7077,7982,9512,6861,7508,7400,12996,10291,6808,8649,9597,9445,10457
DHA2_32730,24896,23161,25324,24746,22240,17411,20455,19028,23573,23902,36604,24464,27278,28870,31138,31930
DHA2_3279,931,2568,1428,1669,2289,3117,1424,2362,1226,3323,605,694,614,1825,1971,1548
DHA2_3281,5871,8103,5648,5123,6796,7762,5379,7091,5961,10050,8774,6029,7327,8868,9868,9422
DHA2_3294,1400,1579,1381,1158,1497,942,1762,1378,1159,1094,1087,707,887,971,1229,931
DHA2_33022,3286,5276,3589,3957,4879,5146,3747,4840,2888,5087,3750,2848,3583,3983,4433,4133
DHA2_33023,2171,4054,2238,2564,3285,3505,2422,3350,1883,4043,2538,1606,2189,3043,3081,2961
DHA2_33037,6896,6846,7933,6583,6783,6354,6532,6334,7071,9037,8785,6340,6915,7354,7576,7883
DHA2_33166,30477,30327,32557,32792,26339,28047,22937,27911,26188,37862,40278,29515,35241,33391,36855,39898
DHA2_33218,25093,18413,15623,12627,15797,15265,17818,13676,21119,18639,31138,22154,26482,20952,20854,25667
DHA2_3331,79942,60069,59464,45720,76025,78996,65321,47691,77168,69648,103533,72133,78957,70006,68325,70043
DHA2_3341,3113,2774,2956,2442,2504,1712,2788,2655,3501,3266,4666,3362,3845,3620,3936,4343
DHA2_3342,6013,3567,4610,3290,3084,2203,4166,3138,6608,4486,9520,7171,8208,4176,5278,6377
DHA2_33434,2378,2458,2001,2149,2986,3693,1727,2231,2029,3220,2412,2179,2298,2181,3046,2668
DHA2_3349,10358,14865,7691,7724,9636,15220,10488,13900,8359,13548,10276,7630,8885,10189,12557,11361
DHA2_33592,13452,15414,12804,12242,14540,11384,13530,13810,13503,16906,18343,13259,15927,16289,18322,18660
DHA2_33660,22103,18772,14080,10039,6509,7713,13079,9966,19430,16135,28584,19911,25780,17718,18776,24598
DHA2_33663,11967,11685,9133,8105,10454,8429,7488,8401,9748,11174,14140,10636,13082,10004,12034,12225
DHA2_3367,14149,14491,11509,8383,11504,9552,14954,12550,11608,14523,35011,22473,26739,33221,32458,30256
DHA2_33672,2570,3436,2148,2354,2133,1945,1895,2776,2720,3520,2439,2547,2149,2240,3401,2737
DHA2_33685,21641,14841,14942,12249,14061,11694,14484,12976,20926,14934,24197,17279,19560,13390,14755,16216
DHA2_33689,12819,7642,11118,8519,7931,6481,8731,7186,12757,10757,16717,13021,14757,10245,11715,13265
DHA2_33762,3572,2301,2780,1980,2749,2269,3244,2261,3934,2700,4641,3384,3837,3042,2944,3791
DHA2_33769,235282,143996,181430,103248,149449,119094,196413,117250,218226,146902,273125,199628,262035,165900,196873,211648
DHA2_33787,8592,10823,6871,7745,8373,8113,6971,9846,7957,10711,9250,6889,7149,10425,11095,9492
DHA2_33862,38847,33418,33727,20669,29927,25178,37013,29370,34763,38165,37335,27956,32709,31740,32376,31432
DHA2_33866,9237,8047,9032,7078,6149,5025,7428,6339,8506,8205,10531,8652,9789,7606,8991,9614
DHA2_33870,2142,1764,2322,2148,1827,1297,1816,1712,1915,1725,2560,1810,2135,2332,2425,2185
DHA2_33989,6118,3678,3967,2823,2662,2154,4467,2638,4489,3437,7259,4690,5638,4839,4260,5381
DHA2_3408,2511,3474,2674,2963,6158,6975,3149,4166,2876,6177,3154,2489,2302,5474,4502,3017
DHA2_3409,13970,14506,13351,14459,14913,16128,11693,14975,13510,19190,21485,13692,16431,14583,17407,17594
DHA2_34093,15512,22042,19641,11782,26347,18518,22895,20550,15099,20145,20379,11548,15756,20800,20204,18660
DHA2_34094,5018,8720,5445,5528,8260,7784,5589,7865,5196,7683,5296,4136,4709,5118,6971,5986
DHA2_3414,4376,3578,3849,3781,4423,4045,4161,3651,3736,4868,5560,3592,4059,4119,4587,4062
DHA2_34160,6021,7140,5750,6013,6487,8035,5053,5690,4592,5582,21468,12848,13073,20741,15832,16886
DHA2_3417,4942,6856,4006,3902,5655,6964,4419,5405,4772,8767,6762,4552,5312,6988,6685,6831
DHA2_34179,14946,10751,10671,8570,9529,6078,11235,7968,13827,10970,18741,13057,16589,11757,14059,15600
DHA2_3419,2267,2096,2076,1697,2205,1702,2620,1961,2516,2359,2899,2054,2207,2592,2423,2539
DHA2_3420,5854,10124,4370,4813,7213,8732,6451,8623,4604,8923,6106,5316,5808,7319,9551,8394
DHA2_3465,1492,1188,1057,1222,988,964,1026,1110,1366,1363,1844,1441,1778,1280,1614,1654
DHA2_3470,23997,31254,33218,38730,38009,43035,10993,16027,29538,32653,36137,27361,23245,37118,45743,34864
DHA2_34850,482,424,613,377,626,292,807,522,418,430,571,357,448,622,736,546
DHA2_3490,11407,10096,14064,12964,14666,14127,10692,10146,11279,12114,17037,11574,13457,13808,14098,14309
DHA2_3491,2987,1841,2860,1986,1807,1330,1826,1490,2618,2261,3897,2742,3324,2465,2504,2948
DHA2_3493,2835,2952,3447,2771,3529,3241,2388,2407,2730,3339,3786,2540,3157,2940,3102,3290
DHA2_35094,10113,6178,8806,7251,5008,3899,5675,5011,8733,7150,9606,8977,9495,5357,7258,8222
DHA2_35180,17706,18817,14621,13824,15908,14029,14146,15421,17099,21170,20844,16638,18532,15455,20176,18265
DHA2_3531,6760,5878,6765,4813,5562,4026,6018,5289,6466,5952,6961,5338,6124,5250,6101,6245
DHA2_35341,7549,10510,9476,8507,8489,5258,8213,9265,9629,13466,12120,8948,9390,10086,12683,9792
DHA2_3538,12034,5313,9215,6570,6941,4763,8187,4544,10980,6647,15049,10978,12888,9242,8458,10965
DHA2_35428,35326,44432,25575,31337,30891,41985,24995,34608,29173,48790,43328,32217,42625,43056,50324,51272
DHA2_3565,6040,7402,6543,6004,9206,8836,5976,7247,6029,8213,7335,5618,6471,8315,8462,8641
DHA2_35670,11375,19810,13099,14169,14035,18443,9698,14559,10749,18254,11885,8797,10933,12685,15735,13931
DHA2_3570,9981,10697,12203,6369,14223,9624,13449,10398,10136,10320,11873,6099,8792,10946,9766,9730
DHA2_3581,1348,1348,1279,994,924,798,1152,829,1141,1296,1685,1131,1228,1535,1470,1415
DHA2_3582,14385,12587,10512,7646,5496,6485,9302,7525,10977,8369,18534,12525,17614,11280,13013,16014
DHA2_3589,6213,7993,4666,4295,5156,4859,6200,6347,4715,8654,5837,4241,6082,6020,7585,7455
DHA2_3590,1489,1882,1217,1072,1217,1546,934,1285,1119,2286,1103,1034,1162,1010,1463,1397
DHA2_3593,69516,21158,61406,21896,36960,17562,56345,17041,62353,18284,115667,81785,91386,39110,41277,36741
DHA2_3595,8937,5514,6150,3914,4835,2978,8059,4126,7448,4978,8879,6782,8879,6049,7605,9246
DHA2_3598,1924,1177,1831,1145,1375,681,1831,1082,1986,1570,2323,1809,2057,1458,1859,1927
DHA2_36069,22383,22866,26023,15638,26380,22678,26014,21828,23177,22917,26230,17003,23102,23485,22951,22354
DHA2_3643,25067,77849,15566,34978,71809,105090,33128,81456,18932,111942,33157,23734,21128,80693,75827,46351
DHA2_36654,3897,4714,3633,3916,3231,2888,3056,4477,3967,5428,5229,4285,4608,4315,5899,5801
DHA2_3678,6334,9146,6235,5859,7605,8878,4684,6213,6566,10351,7255,5101,6338,8498,8155,8496
DHA2_3680,969,1710,818,1052,1147,1176,713,1048,787,1633,955,813,946,1154,1435,1311
DHA2_3705,4808,5031,3968,3710,5110,5272,3876,5024,4739,6779,5470,4297,4958,5476,6119,6002
DHA2_3720,342,334,1780,1690,2111,2497,1272,1867,1914,2430,2329,1515,1911,1360,1851,1781
DHA2_37350,17447,15160,22685,16122,15052,7104,14572,12865,19577,17341,27878,20772,22239,14896,21304,15503
DHA2_37452,27365,21875,23168,23653,22836,18720,22892,19727,29259,24685,43740,29474,32337,27801,32582,33023
DHA2_3755,3854,6916,4037,4720,7468,9625,4461,6879,3556,8601,7109,5806,6642,11516,11526,8940
DHA2_3760,4012,2944,4034,2830,4399,2533,4810,3330,4482,3138,4947,3735,4094,3660,3766,4154
DHA2_3763,3840,4746,3025,2967,3917,4407,4029,5022,4088,6049,4054,3086,3825,3991,4873,4684
DHA2_37711,3629,3380,3293,2432,2892,2870,3176,3125,3227,3461,3760,2661,3323,3183,3334,3180
DHA2_37907,2504,2055,2481,2319,2512,1354,2123,1521,2216,1742,2953,2183,2285,2190,2945,2341
DHA2_3822,18304,15474,16103,13985,11897,10787,13320,12828,17454,19231,20916,16630,18595,15161,18790,19650
DHA2_38394,4989,6521,5230,6061,7788,6346,3598,5810,3767,6247,5307,3513,4477,4578,5416,5717
DHA2_3861,26913,34342,19752,18913,29419,32406,19869,22642,24475,30231,24307,19244,21891,24344,28730,28670
DHA2_3869,2090,2534,1646,1432,1895,1876,1771,1913,1903,3039,2801,1676,2239,2336,2429,2780
DHA2_3883,672,822,579,564,754,620,655,760,657,738,699,721,713,702,813,807
DHA2_3903,11693,8722,7278,7133,6296,4764,8517,6919,12243,11054,18659,12262,14335,10990,11772,14556
DHA2_3920,8192,4643,4774,3931,3950,2834,5051,3695,7757,5230,10919,7708,7983,3863,5236,5987
DHA2_3934,7075,4851,5905,4165,4763,3335,6755,4359,7381,5200,10416,6898,8049,7142,7203,7748
DHA2_3951,3121,3136,2312,1941,2313,1919,2983,2816,2217,2318,3439,2603,3317,3310,3782,3226
DHA2_3957,10391,7130,7923,5951,6847,6486,7941,6584,9267,8639,16902,11266,13477,9672,10158,11225
DHA2_3974,491,474,458,403,336,198,331,362,496,414,595,554,636,347,557,517
DHA2_3977,7709,4241,4337,3383,4385,2839,4942,2888,7146,4017,9387,6201,7163,6104,5015,6835
DHA2_3978,7896,4760,3283,2874,4143,2851,5642,3134,6976,4634,8731,6001,6647,6007,5459,6459
DHA2_39843,11458,10587,10027,9255,9018,6162,8987,9768,11522,11784,15075,11643,13285,10161,13254,12571
DHA2_3985,5499,4886,3552,3321,2679,3590,2651,2667,4602,4575,6493,4989,6261,4052,5005,6154
DHA2_3994,7971,12320,9116,9256,9708,10127,8208,9680,7288,12834,10205,6886,7758,10688,10028,9731
DHA2_40067,15849,19563,11415,10906,13775,16249,13440,15401,13956,17667,18555,13523,17309,16823,18017,19709
DHA2_4007,1423,1435,1349,1176,1054,1158,1057,1429,1796,3293,2034,1564,1875,1542,1776,1867
DHA2_4008,857,1195,1147,907,1040,651,882,968,778,1048,1192,852,892,1060,1139,1067
DHA2_4017,4248,3212,3881,2984,2637,2020,2493,2209,4489,3213,5589,3964,4750,3380,4004,4983
DHA2_4018,9341,7920,6793,6237,6148,6537,7169,6262,8315,7354,14609,9527,12411,9351,10215,12057
DHA2_40376,11140,11536,11730,10524,12557,8329,10060,10574,10828,12806,14763,12057,12785,9871,14348,12242
DHA2_4038,1597,2288,1525,1283,1356,1491,1031,1772,1509,2518,1701,1512,1526,1023,1824,1340
DHA2_4039,35126,30992,20222,19623,20293,19615,19486,22615,17559,26751,25879,17973,27133,21719,22833,30750
DHA2_40390,20346,23104,16207,15635,13953,16691,15804,18844,19709,23311,27621,19637,25334,20192,25379,26306
DHA2_4044,19367,19002,17254,15456,15146,14580,15908,18158,18112,21707,26258,18464,21275,21066,22421,23026
DHA2_4046,732,475,429,331,455,319,600,411,558,371,737,533,632,517,571,561
DHA2_40496,61863,39471,65135,43364,48504,25815,47701,27903,69402,46729,119544,77636,90092,54724,65728,53632
DHA2_40517,5119,2765,4906,2893,2971,2123,4645,2571,5209,3161,5897,4865,4626,3458,4061,3843
DHA2_40521,7341,7402,7492,5825,7019,6794,8013,6822,6987,7960,8968,6537,8096,7031,8226,8038
DHA2_4059,4743,5569,3841,3190,4133,3678,5039,4833,4769,6338,5867,4536,4790,5847,7396,6449
DHA2_4063,5660,4995,5290,4513,4975,5042,5322,5003,5410,6026,8251,5550,7011,6025,6231,6740
DHA2_4064,1974,1564,2005,1233,1682,1146,2282,1245,1901,1278,1927,1499,1521,1751,1828,1796
DHA2_4079,12117,12702,11462,10441,14558,13638,11712,11674,12023,15321,19428,12322,14575,15893,15588,16161
DHA2_40817,23765,23779,18379,19309,24626,36313,20454,26334,20576,34182,31095,21560,25153,41802,38845,30322
DHA2_4084,1335,1982,1485,1395,2418,1774,1248,1562,1386,2136,1546,1150,1325,1207,1468,1402
DHA2_40995,8825,13158,8445,10105,11613,11879,12545,14801,7944,11078,11549,7982,9534,13673,15012,13656
DHA2_41212,243701,184129,200697,152342,89416,97514,145792,141194,212063,168138,267232,207797,259210,143967,201434,217853
DHA2_4125,1369,1073,1157,970,816,524,781,854,1098,1352,1599,1290,1468,1036,1449,1396
DHA2_41369,13468,9416,11610,8805,7674,5643,9819,7516,12407,9181,16682,11531,14860,9728,10984,13509
DHA2_4149,10419,10003,9382,9601,14130,12251,10655,10956,11204,14446,16449,11098,12582,15530,13881,14817
DHA2_41512,31242,16844,20709,16370,18955,16998,18090,12152,28820,18518,52098,36039,43241,25538,27784,33759
